"id","japanese"
"1","切断対象ホストを発見しました。"
"2","新規ホストを発見しました。"
"3","ホストの接続を防止しました。"
"4","\nアラートダイアログを実行するには、Administratos/SYSTEM権限が必要です。"
"5","[未導入]"
"6","CSVファイル (*.csv)|*.csv|すべてのファイル (*.*)|*.*|"
"7","CSVファイルの選択"
"8","すべて"
"9","以外のもの"
"10","にマッチするもの"
"11","%s\n「xx:xx:xx:xx:xx:xx」の形式で入力してください。(E%05u)"
"12","%s\n「xxx.xxx.xxx.xxx」の形式で入力してください。(E%05u)"
"13","(以外)"
"14","エージェント名    "
"15","IPアドレス          "
"16","収集"
"17","防止"
"18","新規ホストの状態(色)"
"19","MAC数"
"20","設置場所"
"21","○"
"22","   青   "
"23","   黄   "
"24","   赤   "
"25","合計MACアドレス数 =    (重複MACアドレス数 =   )"
"26","合計MACアドレス数 = %s  (重複MACアドレス数 = %s )"
"27","開始アドレス"
"28","終了アドレス"
"29","\n使用可能な文字は、1バイト以上32バイト以下の半角英数、ハイフン(-)、\nアンダーバー(_)、小括弧((,))、ドット(.)です。"
"30","\nドット(.)で始まるエージェント名を設定することはできません。"
"31","\nドット(.)で終わるエージェント名を設定することはできません。"
"32","エージェント名 [ %s ] は%s(E%05u)"
"33","\n使用可能な文字は、半角英数字、半角記号文字、2バイト文字です。"
"34","\nIPアドレス、ネットワークマスクとの整合性がとれていません。\nよろしいですか？"
"35","\nネットワークアドレスに属していないDHCPスコープが設定されています。"
"36","すべての%s(E%05u)"
"37","一部の%s(E%05u)"
"38","不正接続防止機能の設定状況：有効"
"39","不正接続防止機能の設定状況：無効"
"40","MACアドレス"
"41","IPアドレス"
"42","エージェント名: %s"
"43","ログファイルの保存フォルダを選択してください"
"44","\nフルパスの長さは3バイト以上128バイト以下です。\nまた、次の文字は使用できません。/ ; * ? \" < > |"
"45","\n先頭には必ず「ドライブ名:\\」を指定してください。"
"46","[ %s ] は存在しません。\n新規に作成しますか？"
"47","\n再度「ログファイルの保存フォルダ」を指定してください。"
"48","\n使用可能な文字は、256バイト以下の半角英数、ハイフン(-)、アンダーバー(_)、ドット(.)です。"
"49","\n使用可能な文字は、1024バイト以下の半角英数、半角記号、半角スペース、\n半角カタカナ、日本語です。"
"50","　"
"51","SMアドレス一覧ファイルの%s(E%05u)"
"52","SMアドレス一覧ファイル %u行目 の%s(E%05u)"
"53","\n使用可能な文字は、1バイト以上9バイト以下の半角数字です。"
"54","\n使用可能な文字は、1バイト以上20バイト以下の半角英数字、半角記号文字、2バイト文字です。"
"55","\n使用可能な文字は、1バイト以上100バイト以下の半角英数字、半角記号文字、2バイト文字です。"
"56","\n使用可能な文字は、1バイト以上256バイト以下の半角英数字、半角記号文字です。"
"57","\n先頭は必ず「http://」または「https://」を指定してください。"
"58","\nサイトコンソールを実行するには、Administratos/SYSTEM権限が必要です。"
"59","サイトマネージャ%s(E%05u)%s"
"60","\nサイトコンソールを終了します。"
"61","サイトマネージャ Version %s(%s)"
"62","サイトマネージャ Version %s"
"63","シリアル番号： %s"
"64","サイトコンソール Version"
"65","サイトコンソール Version %s"
"66","ローカル - サイトコンソール"
"67","%s - サイトコンソール"
"68","[ %s ]と%s(E%05u)"
"69","設定終了後、接続許可されていない機器はネットワークに接続できなくなります。\n"
"70","新たに接続を許可するには「ホスト一覧」への追加・状態の設定が"
"71","必要となります。\n\n"
"72","「不正接続防止機能」を有効にします。本当に設定してもいいですか？"
"73","不正接続防止の設定"
"74","\n有効にするには「ホスト一覧」を起動しネットワークへの接続を許可する"
"75","\n機器の設定を行ってください。"
"76","ログファイルの選択"
"77","選択されたエージェントを削除します。\nデータ収集中のエージェントは削除できません。\n\nよろしいですか？"
"78","[ %s ] と%s(E%05u)\n削除処理を続けますか？"
"79","すべてのエージェントの%s(E%05u)"
"80","一部のエージェントの%s(E%05u)"
"81","エージェント名"
"82","エージェントアドレス"
"83","管理者名"
"84","管理者電話番号"
"85","管理者メールアドレス"
"86","エージェントポート"
"87","ネットワークマスク"
"88","ネットワークアドレス"
"89","バージョン情報"
